Asset,test_year,Strategy,Sharpe
AAPL,2016,LONG ONLY,0.4923469981145897
AAPL,2016,SIGN MOMENTUM,-0.4470759787133836
AAPL,2016,MACD MOMENTUM,-0.43353693911828506
AAPL,2016,DMN-SHARPE,0.608084075641354
AAPL,2016,DMN-AVGRET,-0.4028669442336697
AAPL,2017,LONG ONLY,2.3695782279670055
AAPL,2017,SIGN MOMENTUM,2.3695782279670055
AAPL,2017,MACD MOMENTUM,1.7821418243471765
AAPL,2017,DMN-SHARPE,2.214742745290345
AAPL,2017,DMN-AVGRET,2.2425257511223102
AAPL,2018,LONG ONLY,0.05616170614684486
AAPL,2018,SIGN MOMENTUM,0.26344210546845503
AAPL,2018,MACD MOMENTUM,0.06396797011708055
AAPL,2018,DMN-SHARPE,-0.4211042196149197
AAPL,2018,DMN-AVGRET,0.3770906719595422
AAPL,2019,LONG ONLY,2.616427677924886
AAPL,2019,SIGN MOMENTUM,-0.45407630176409725
AAPL,2019,MACD MOMENTUM,1.4263755520630113
AAPL,2019,DMN-SHARPE,2.1777103717435566
AAPL,2019,DMN-AVGRET,2.4444370397299973
ADBE,2016,LONG ONLY,0.434620864236028
ADBE,2016,SIGN MOMENTUM,0.434620864236028
ADBE,2016,MACD MOMENTUM,-0.5869441278553821
ADBE,2016,DMN-SHARPE,-0.018995664703436915
ADBE,2016,DMN-AVGRET,-0.18816196875972618
ADBE,2017,LONG ONLY,2.74024043676238
ADBE,2017,SIGN MOMENTUM,2.74024043676238
ADBE,2017,MACD MOMENTUM,1.7618759308129528
ADBE,2017,DMN-SHARPE,2.374875597512351
ADBE,2017,DMN-AVGRET,2.7013668592724374
ADBE,2018,LONG ONLY,1.0024781187469827
ADBE,2018,SIGN MOMENTUM,1.0024781187469827
ADBE,2018,MACD MOMENTUM,0.7582344777675661
ADBE,2018,DMN-SHARPE,1.3581640574676779
ADBE,2018,DMN-AVGRET,1.0160304877035118
ADBE,2019,LONG ONLY,1.5087107940061764
ADBE,2019,SIGN MOMENTUM,1.308249792206426
ADBE,2019,MACD MOMENTUM,0.6310638181759614
ADBE,2019,DMN-SHARPE,1.035310429236638
ADBE,2019,DMN-AVGRET,1.426542326066765
AMD,2016,LONG ONLY,1.9065188174905967
AMD,2016,SIGN MOMENTUM,1.3355443899920638
AMD,2016,MACD MOMENTUM,1.2243512545568676
AMD,2016,DMN-SHARPE,2.112217880360338
AMD,2016,DMN-AVGRET,-1.8574047953043948
AMD,2017,LONG ONLY,0.020825254490368195
AMD,2017,SIGN MOMENTUM,-0.441756096096545
AMD,2017,MACD MOMENTUM,-1.3828663931880933
AMD,2017,DMN-SHARPE,0.6756140518715132
AMD,2017,DMN-AVGRET,-0.0022765654486371885
AMD,2018,LONG ONLY,1.547232598683812
AMD,2018,SIGN MOMENTUM,1.4845590649055105
AMD,2018,MACD MOMENTUM,1.0545508455328867
AMD,2018,DMN-SHARPE,1.4697364230442143
AMD,2018,DMN-AVGRET,2.198717457249498
AMD,2019,LONG ONLY,2.190568376338824
AMD,2019,SIGN MOMENTUM,2.3773838647099
AMD,2019,MACD MOMENTUM,0.6643394377868022
AMD,2019,DMN-SHARPE,1.893933500586208
AMD,2019,DMN-AVGRET,2.004236247550956
SPY,2016,LONG ONLY,0.9509254179847015
SPY,2016,SIGN MOMENTUM,-0.2690374451723614
SPY,2016,MACD MOMENTUM,0.1776180976501374
SPY,2016,DMN-SHARPE,0.5287232209055376
SPY,2016,DMN-AVGRET,-1.3340782221984244
SPY,2017,LONG ONLY,2.8199495540338564
SPY,2017,SIGN MOMENTUM,2.8199495540338564
SPY,2017,MACD MOMENTUM,2.2338645557288936
SPY,2017,DMN-SHARPE,2.6159153847981074
SPY,2017,DMN-AVGRET,2.658048378640876
SPY,2018,LONG ONLY,-0.17974008365122068
SPY,2018,SIGN MOMENTUM,0.12712972832813238
SPY,2018,MACD MOMENTUM,-0.5653969227350192
SPY,2018,DMN-SHARPE,-0.17205656506804384
SPY,2018,DMN-AVGRET,-0.4914407902095672
SPY,2019,LONG ONLY,1.8311552870167844
SPY,2019,SIGN MOMENTUM,0.9712878205020139
SPY,2019,MACD MOMENTUM,0.5053551814314929
SPY,2019,DMN-SHARPE,1.410167602274613
SPY,2019,DMN-AVGRET,1.7875556963219226
